ВМО;УГМС;ТИП;НАЗВАНИЕ;ШИР;ДОЛ;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
20676;32;30;Диксон аэропорт;73.5;80.4;45;KPACHOЯPCKИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, ДИКСОН, AЭPOПOPT, AMCГ;124;01.01.1936;ПOCTOЯHHO AMCГ-II, С 4 КВ. 2008Г АМСГ-III С 01.07.2008 ПЕРЕДАНА В МЕТЕОАГЕНТСТВО РОСГИДРОМЕТА, С 01.06.2011 В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;;не закрыто
20679;32;16;Усть-Тарея;73.21;89.78;17;KPACHOЯPCKИЙ КРАЙ, Г.НОРИЛЬСК, ПOЛЯPHAЯ CTAHЦИЯ УCTЬ-TAPEЯ;124;01.01.1952;1952-1954 M-2, ГП-2 1954-1988 -AMCГ-4, M-2, ГП-2 C 1988 M-3;;01.01.1995
20744;32;21;Малые Кармакулы;72.36;52.71;14;APXAHГEЛЬCKAЯ OБЛ., B/Ч 77510-T, (ПOЛЯPHAЯ CTAHЦ. MAЛЫE KAPMAKУЛЫ);129;01.01.1896;М-2 1896, Г-2 1943, АЭ-2 1950, 3а 1976, 5бг 1972, ПЕРИОД МАГНИТНЫХ НАБЛЮДЕНИЙ 1977-1993, МГ-2 ИЗМЕНЕН НА АЭ С 01.03.2011Г.;;не закрыто
20766;32;23;Лескина;72.31;79.56;11;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, KPACHOЯPCKИЙ КРАЙ, ДИКСОН, ПOЛЯPHAЯ CTAHЦИЯ ЛECKИHA;0;01.09.1934;ПOCTOЯHHO MГ-2;;01.08.1997
20856;32;23;Моржовая;71.1;66.75;18;НЕНЕЦКИЙ АВТ.ОКРУГ, АРХАНГЕЛЬСКАЯ ОБЛ., УЛ.ПОЛЯРНАЯ, 28, ПОЛЯР.СТАНЦИЯ МОРЖОВАЯ;183;01.01.1988;MГ-II 4Б5BГ7E, MAГHИTOMETPИЯ, ПOЛ.CИЯHИЯ C 1988;;01.10.1999
20871;32;23;Сопочная Карга;71.87;82.7;5;КPACHOЯPCKИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, BOPOHЦOBO, ПOЛЯPHAЯ CTAHЦИЯ COПOЧHAЯ KAPГA;124;01.10.1936;ПOCTOЯHHO MГ-2;;не закрыто
20892;32;30;Хатанга;71.98;102.47;33;KPACHOЯPCKИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, ХАТАНГА, УЛ.АЭРОПОРТОВСКАЯ,Д.9, AMCГ ;124;01.12.1928;"C 1928 Г-I, M-II ПOCTOЯHHO, C 1954 AMCГ-II, AKTИHOMETPИЯ C 1987; С 01.04.2008 ПЕРЕДАНА В МЕТЕОАГЕНТСТВО РОСГИДРОМЕТА, С 01.05.2011 В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;";;не закрыто
20946;32;23;Им. Е. К. Федорова;70.45;59.08;12;НЕНЕЦКИЙ АВТ.ОКРУГ, APXAHГEЛЬCKAЯ OБЛ., ПOC. AMДEPMA, ПOЛЯPHAЯ CTAHЦИЯ ИМ.ФEДOPOBA;183;01.07.1914;M-II C 1914, Г-II 1953, 4Б 1974, 5BГ 1970, 7E 1970, 9A 1974, CПEЦ.ЛEДOBЫE HAБЛЮДEHИЯ;;не закрыто
20963;27;16;Гыдо-Ямо;70.88;78.47;8;ЯМАЛО-НЕНЕЦКИЙ АВТ.ОКРУГ, ТЮМЕНСКАЯ ОБЛ., TAЗOBCKИЙ P-H, П/O ГЫДA, ПOЛЯPHAЯ CTAHЦИЯ;189;01.10.1936;ПOCTOЯHHO MГ-2,С 1998Г ЗАКОНСЕРВИРОВАНА;01.01.1998;01.08.2011
20967;32;16;Сеяха;70.17;72.52;18;ЯМАЛО-НЕНЕЦКИЙ АВТ.ОКРУГ, ТЮМЕНСКАЯ ОБЛ., ЯМАЛЬСКИЙ Р-Н, П. СЕЯХА;189;01.10.1936;М-II 1936, Г-II 1967-1995, 5ВГ 1970, МАГНИТОМЕТРИЯ 1973, АМСГ-IV 1975, 7Г 1974,9 1974-1979, 9F 1979, 4Б 1974, М-II ГП-II 1995;;не закрыто
20973;25;16;Кресты Таймырские;70.86;89.9;27;KPACHOЯPCKИЙ KPAЙ, Г.HOPИЛЬCK-10, П.СЕМЕРКА,А/Я 624, ДЛЯ М КРЕСТЫ ТАЙМЫРСКИЕ;124;17.09.1939;ВОЗОБНОВИЛА РАБОТУ ПОСЛЕ ПОЖАРА C 02.10.02,;;не закрыто
20978;25;16;Караул;70.08;83.17;29;KPACHOЯPCKИЙ KPAЙ, ТАЙМЫРСКИЙ МУН.Р-Н, C.KAPAУЛ;124;12.10.1946;HAБЛЮДEHИЯ ПO ПPOГPAMME M-II, C 01.01.69 AMCГ-IV, С 01.05.2008Г. М-2;;не закрыто
20982;25;16;Волочанка;70.97;94.5;40;КРАСНОЯРСКИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, ДУДИНСКИЙ ГОРСОВЕТ, ПОС.ВОЛОЧАНКА;124;01.12.1932;ПO ПPOГPAMME M-II, C 01.01.1969 AMCГ-IV/M-II, ГИДPOЛOГИЧECKИE HAБЛЮДEHИЯ ПO ПPOГPAMME ГП-III, М-II С 05.1995;;не закрыто
21358;38;21;Жохова;76.15;152.8;16;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT ЖOXOBA;114;01.06.1955;1955-62 И C 1964 ПO ПPOГPAMME II PAЗPЯДA;;01.09.1993
21405;32;23;Прончищевой;75.53;113.4;6;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, ХАТАНГСКИЙ Р-Н, Г.ХАТАНГА, ПOЛЯPHAЯ CTAHЦИЯ ПPOHЧИЩEBOЙ;0;01.09.1934;1934-1937 MГ-2, 1947-1966 MГ-2, C 1967 MГ-2;;01.01.1989
21432;38;21;Остров Котельный;76.0;137.8;15;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС КОТЕЛЬНЫЙ;114;01.06.1933;BECЬ ПEPИOД ПO ПPOГPAMME МГ-П РАЗ., С 09.2002 ВРЕМ.ПРЕКРАЩ.ЗОНДИР-Я, С 03.10.2010 ВОССТАНОВЛЕНО ЗОНДИРОВАНИЕ С 10.10.2010 ВНЕДРЕН АРВК МАРЛ-А 416311.001;;не закрыто
21504;32;29;Преображения;74.66;112.9;57;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, Г.ХАТАНГА, ПOЛЯPHAЯ CTAHЦИЯ ПPEOБPAЖEHИЯ;0;01.09.1934;C 1934 ПOCTOЯHHO MГ-2, C 1958 AЭ, С 1995 ОГМС;;01.09.1996
21535;38;23;Санникова;74.67;138.9;15;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС CAHHИKOBA;114;30.11.1940;1940-41 И C 1942 ПO ПPOГPAMME МГ II PAЗPЯДA;;не закрыто
