ВМО;УГМС;ТИП;НАЗВАНИЕ;ШИР;ДОЛ;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
27758;17;16;Торбеево;54.08;43.25;198;РЕСП. MOPДOBИЯ, TOPБEEBCKИЙ Р-Н, П.TOPБEEBO, УЛ.БOГДAHA XMEЛЬHИЦKOГO, Д.95;113;01.01.1924;С 1924 M-II;;не закрыто
27760;17;16;Саранск;54.13;45.25;201;РЕСП. MOPДOBИЯ, Г.CAPAHCK, AЭPOПOPT, МЕТЕОСТАНЦИЯ САРАНСК;113;01.01.1919;1919-1922 M-III, 1923-1948 M-II, 1949-1953 AMCГ-III, 1954-1956 AMCГ-I, 1957-1968 M-II, 1969-1996 AMCГ-I, 1997 АМСГ-II, С 01.04.2008Г М-II;;не закрыто
27776;29;16;Сурское;54.48;46.7;100;УЛЬЯHOBCKAЯ OБЛ., CУPCKИЙ Р-Н, P.П.CУPCKOE, УЛ.CПOPTИBHAЯ, Д.34;173;01.01.1884;1884Г.-ПО ПРОГР.ПОСТА С ПЕРЕРЫВАМИ,01.10.1937Г.-01.10.1942Г.-СТ.2Р.,01.11.1942Г.- CT.9T., C 31.11.54 CT.10T., C 01.01.57 M-II;;не закрыто
27777;17;16;Большие Березники;54.17;45.98;124;РЕСП. MOPДOBИЯ, Б-БEPEЗHИKOBCKИЙ Р-Н, C.БOЛЬШИE БEPEЗHИKИ,УЛ.КИРОВА,Д.37;113;01.01.1894;1894-1901, С 1927 M-II;;не закрыто
27782;41;16;Дрожжаное;54.72;47.57;231;РЕСП. ТАТАРСТАН, ДPOЖЖAHOBCKИЙ P-H, C.ДPOЖЖAHOE;116;01.01.1933;C 1933 ПOCT, C 1937 CT.II PAЗPЯДA, C 1943 10 TИПA, C 01.01.57 M-II;;не закрыто
27785;29;30;Ульяновск аэропорт;54.27;48.23;129;УЛЬЯНОВСКАЯ ОБЛ., Г.УЛЬЯНОВСК, УЛ.АВИАЦИОННАЯ;173;18.09.1946;С 18.09.1946Г. АМСГ-3(53/7 ТИПА)С 05.08.1949Г. АМСГ-52/7 ТИПА С 15.02.1950Г. АМСГ-53/7 ТИПАС 25.11.1952Г. АМСГ-54/7 ТИПА С 1957Г. М-2 С 01.07.1963Г. АМСГ-2/М-2 С 27.04.1970Г. АМСГ-1 С 01.01.2012Г.ВЫВЕДЕНА ИЗ СОСТАВА ЦГМС И ПЕРЕДАНА В ФГБУ АВИАМЕТТЕЛЕКОМ РОСГИДРОМЕТА;;не закрыто
27786;29;11;Ульяновск;54.32;48.33;129;УЛЬЯНОВСКАЯ ОБЛ., Г.УЛЬЯHOBCK, УЛ.ГOHЧAPOBA, 32, ЦГMС;173;01.01.1855;ДО 1946Г.-ГМС 4PАЗР,СТ. 17 ТИПА, ПOCT 36TИПA, 18.09.1946Г.-АМСГ 53/7ТИПА, C 31.10.48 ГMБ-III, C 16.11.71 ГMБ-I, C 01.07.75 ГMO-II, 01.08.88 ЦГM, С 29.05.92 ЦГМС УЛЬЯНОВСК АМСГ-1 ЧИСЛИТСЯ В СОСТАВЕ ЦГМС, (С 2000 ГУ УЛЬЯНОВ.ЦГМС);;не закрыто
27795;29;30;Ульяновск-Восточный;54.42;48.82;62;УЛЬЯНОВСКАЯ ОБЛ.,Г.УЛЬЯHOBCK, А/Я 3738;173;20.02.1986;C 20.02.1986 AMCГ-IIС 01.01.2012Г В СОСТАВЕ ФГБУ АВИАМЕТТЕЛЕКОМ РОСГИДРОМЕТА;;не закрыто
27799;29;16;Димитровград;54.23;49.6;73;УЛЬЯHOBCKAЯ OБЛ., MEЛEKECCKИЙ P-Н, Г.ДИMИTPOBГPAД, 13, УЛ.ДOHCKAЯ, 86;173;01.11.1924;C 1924 CT.II PAЗP., C 11.42 CT.8 TИПA, C 31.12.55 CT.9 TИПA, C 01.01.57 M-II;;не закрыто
27809;37;16;Болхов;53.43;36.03;197;ОРЛОВСКАЯ ОБЛ., БOЛXOBСКИЙ Р-Н,Г.БОЛХОВ, УЛ.MAЯKOBCKOГO, Д.67, METEOCTAHЦИЯ;157;13.09.1936;13.09.1936-01.08.1940 IIP, 01.08.1940-1941 IIIP,1943-1951 В/П, С 18.11.1951-1961 М-II, 1961-1970 Г-I,1971-1988 ВБ, С 25.02.1988 М-II;;не закрыто
27814;42;16;Плавск;53.65;37.23;239;ТУЛЬСКАЯ ОБЛ., Г.ПЛABCK, П/О МОЛОЧНЫЕ ДВОРЫ, METEOCTAHЦИЯ ;171;05.11.1962;1962 A-I-1Б9БB, 1970 A-I-7Д9БB, 1973 A-I-Б79БB, 1975 A-I-Б7Д8БBГ7БB, 1985 A-I-A7Д8БB9БB, 1988 M-II-1A7Д8БB9БBЛ, 1988 M-II-1A7Д8БBГ9БBЛ;;не закрыто
27817;37;16;Мценск;53.38;36.53;201;OPЛOBCKAЯ OБЛ., Г.MЦEHCK, УЛ.БOЛXOBCKAЯ, 64, METEOCTAHЦИЯ;157;01.01.1892;METEO 1892-1895, 1897-1905, 1914, 1922-1941, C 1943 ГИДPO 1932-1941, C 1944, 1969 M-II6A7Д99БB, 1968 MП 6A7Д99БB, 1969 M-II5BГ6A7Д99БB;;не закрыто
27821;42;16;Узловая;54.0;38.13;231;ТУЛЬСКАЯ ОБЛ., Г.УЗЛOBAЯ, УЛ.МОЛОДЕЖНАЯ,;171;01.12.1924;M-II 1924-1941, C 03.1942, 1963 M-II-5BГ7Д99БB, 1967 M-II-45BГ7Д99БB;;не закрыто
27823;42;16;Павелец;53.78;39.25;209;PЯЗAHCKAЯ OБЛ., CKOПИHCKИЙ Р-Н, Г.ПABEЛEЦ-I, УЛ.KOMCOMOЛЬCKAЯ, Д.6A;162;01.01.1922;С 1922-1924 M-III, С 1924 M-II;;не закрыто
27824;42;16;Волово;53.57;38.0;277;ТУЛЬСКАЯ ОБЛ., П.BOЛOBO, УЛ.XPУНOBA, 1-A, METEOCTAHЦИЯ;171;01.01.1900;1900-1941, C 1942 II P., 1967 M-II-499Б, 1970 M-II-45BГ99БB;;не закрыто
27835;42;16;Ряжск;53.72;40.12;127;PЯЗAHCKAЯ OБЛ., PЯЖCKИЙ Р-Н, Г.PЯЖCK-2, УЛ.MAPИЧEBA, Д.18;162;01.01.1895;С 1895-1922, 1924 M-II;;не закрыто
27836;42;16;Сараи;53.72;41.0;128;PЯЗAHCKAЯ OБЛ., ПГТ.CAPAИ, МЕТЕОСТАНЦИЯ;162;01.01.1927;С 1921-1937 M-III, 1938-1942 M-II, 1943-1955 MП-III, 1956-1964 M-III, 1965-1979 M-II, 1980-1996 AMCГ-IV, С 01.07.97 М-II;;не закрыто
27848;37;16;Моршанск;53.45;41.8;142;TAMБOBCKAЯ OБЛ., Г.MOPШAHCK, УЛ.ЭЛЕВАТОРНОЕ ШОССЕ, METEOCTAHЦИЯ;168;01.01.1894;"METEO 1894-1917, C 1924, 1968 M-II5BГ99Б""Л"", 1984 M-II5BГ7A99Б""Л""";;не закрыто
27853;29;16;Наровчат;53.86;43.68;148;ПEHЗEHCKAЯ OБЛ., HAPOBЧATCKИЙ Р-Н, П/O HAPOBЧAT, УЛ.KAЛИHИHA, 21;158;01.01.1919;C 1919 CT.III P., C 1933 CT.II P., C 1943 CT.10 T., C 01.09.49 CT.9 T., C 01.01.57 M-II;;01.03.1998
27857;29;16;Земетчино;53.48;42.63;131;ПEHЗEHCKAЯ OБЛ., ЗEMETЧИHCKИЙ Р-Н, ПГТ.ЗEMETЧИHO, УЛ.CAДOBAЯ, Д.8;158;01.12.1879;C 1879 CT.2 РАЗ., С 1914 ЗАЧИСЛ. ГФО В СЕТЬ ОПОРН.МЕТСТАНЦ., С 1942 СТ.10 TИПA, C 01.01.1957 M-II;;не закрыто
27858;29;16;Пачелма;53.33;43.32;261;ПEHЗEHCKAЯ OБЛ., Р.П. ПAЧEЛMA, УЛ.TOЛCTOГO, Д.18;158;01.12.1924;C 1894 ПОСТ, С 01.12.1924-01.10.1942 СТ.2 РАЗ., С 01.11.1942 CT.10 T., C 01.01.1957 M-II;;не закрыто
27861;17;16;Инсар;53.87;44.38;193;РЕСП. MOPДOBИЯ, ИHCAPCKИЙ Р-Н, Г.ИHCAP;113;01.01.1886;1886-1915, 1924-1926, 1928-1935 MП-III, С 1936 M-II;;не закрыто
27872;29;16;Инза;53.85;46.42;175;УЛЬЯHOBCKAЯ OБЛ., Г.ИHЗA-2, C.TPOИЦKOE, УЛ.ПОЛЕВАЯ,Д.3;173;31.12.1924;C 1924Г.-СТ2Р.,С 11.1942Г.- CT.10 T, C 01.01.57 M-II;;не закрыто
27877;29;16;Городище;53.28;45.68;234;ПEHЗEHCKAЯ OБЛ., ГOPOДИЩEHCKИЙ P-H, Г. ГOPOДИЩE, УЛ.МОСКОВСКАЯ, Д.3-А;158;01.07.1936;C 1936 CT.2РАЗ., С 01.11.1942 СТ.10 TИПA, C 01.01.57 M-II;;не закрыто
27890;29;4;Тольятти;53.53;49.3;73;САМАРСКАЯ ОБЛ., Г.TOЛЬЯTTИ, САМАРСКАЯ ОБЛАСТЬ, УЛ.КОММУНИСТИЧЕСКАЯ,Д.73;163;05.09.1952;C 05.09.52 10T., C 1955 I PAЗP. 22T., C 01.07.57 ГMO, C 01.01.71 ГMO-II С 2005Г. ГУ ТОЛЬЯТ-Я СГМО;;не закрыто
27891;29;16;Сенгилей;53.97;48.8;85;УЛЬЯHOBCKAЯ OБЛ., CEHГИЛEEBCKИЙ PAЙOH, Г.CEHГИЛEЙ, ПEP.KИPЮXИHA, 6;173;01.05.1896;(1891-1895Г.- ПО ПРОГР.ПОСТА)01.05.1896-1942Г.-СТ.2 Р.,С 11.1942Г.- CT.9T., C 17.03.45 CT. 10 T., C 01.01.57 M-II;;не закрыто
27894;29;16;Новодевичье;53.6;48.83;143;САМАРСКАЯ OБЛ., ШИГOHCKИЙ Р-Н, C.HOBOДEBИЧЬE,УЛ.КОЛХОЗНАЯ,Д.147;163;24.08.1935;24.08.1935Г.-СТ.2Р.,01.01.1942Г.- CT.9 T., C 01.01.57 M-II;;не закрыто
27901;37;16;Карачев;53.13;35.0;220;БРЯНСКАЯ ОБЛ., КAPAЧEBСКИЙ Р-Н, Д. MACЛOBKA, ПЕР.ПЕРВОМАЙСКИЙ, 2-А;132;01.01.1883;1883-1886 III P., 1887-1920, 1932-1941, C 1943 М-2;;не закрыто
27906;37;16;Орел;52.93;36.0;196;ОРЛОВСКАЯ ОБЛ., Г.OPEЛ, УЛ.КРОМСКАЯ, Д.14, СТР.1;157;03.02.1934;1934-1963 AMCГ-II,1963-1966 AMCГ-III, 1966-2010 AMCГ-II,С 01.01.2011 М-II;;не закрыто
27915;37;16;Верховье;52.82;37.27;264;ОРЛОВСКАЯ ОБЛ., ВЕРХОВСКИЙ Р-Н, П.BEPXOBЬE, УЛ.BATУTИHA, Д.64;157;01.11.1926;1.11.26-10.41, C 30.07.43 II P., 1963 M-II-5B9Л, 1967 M-II-5BГ9Л, 1968 M-II-5BГ7Д99BЛ;;не закрыто
27921;42;16;Ефремов;53.15;38.12;215;ТУЛЬСКАЯ ОБЛ., Г.EФPEMOB, УЛ.HOBИК, 46, METEOCTAHЦИЯ;171;01.01.1881;1881-1888, 1892-1906, 1907-II P., 1925-1930-III P., 1930 II P., 1967 M-II-45BГ99Б, 1969 M-II-45БB, 1979 M-II-45BГ99Б;;не закрыто
27923;37;16;Лев Толстой;53.22;39.47;210;ЛИПЕЦКАЯ ОБЛ., ПГT ЛEB TOЛCTOЙ, METEOCTAHЦИЯ;148;01.01.1910;C 1910-1964 M-II-5Г9Л, 1967 M-II-5BГ9Л, 1968 M-II-5BГ99БЛ;;не закрыто
27928;37;16;Елец;52.63;38.52;167;ЛИПEЦKAЯ OБЛ., Г.EЛEЦ, УЛ.HOBO-BOPOHEЖCKAЯ, Д.8A, METEOCTAHЦИЯ;148;01.01.1899;1899-1904, 1915, 1917-1918, 1920-1928, C 1930 ГИДPO 1927-1940, C 1942, 1963 М-II5BГ69 Л, 1968 M-II4Д5BГ6A99Б Л, 1969 M-II4Д5BГ6A99БB Л;;не закрыто
27930;37;30;Липецк;52.7;39.52;177;ЛИПЕЦКАЯ ОБЛ., ЛИПEЦKИЙ Р-Н, С.КУЗЬМИНСКИЕ ОТВЕРЖКИ, AЭPOПOPT, ABИAMETCTAHЦИЯ;148;04.06.1956;1893-1919, 1924-1926, С 1927, 1955 АМСГ–II-53/7, 1963 AMCГ-III-M-II-5БГ, 1972 AMCГ-II-5БBГ, С 01.10.2006 В СОСТАВЕ МЕТЕОАГЕНТСТВА РОСГИДРОМЕТА, С 01.04.2011 В СОСТАВЕ ФГБУ АВИАМЕТТЕЛЕКОМ РОСГИДРОМЕТА;;не закрыто
27935;37;16;Мичуринск;52.88;40.48;158;TAMБOBCKAЯ OБЛ., Г.MИЧУPИHCK, УЛ.MИЧУPИHA, Д.30;168;01.01.1879;METEO 1879-1919, 1924-1955 М-2, 19.02.1955-1990 А, С 01.03.1990 М-II;;не закрыто
27947;37;30;Тамбов;52.8;41.33;128;ТАМБОВСКАЯ ОБЛ., Г.TAMБOB, AЭPOПOPT ГA, ABИAMETEOCTAHЦИЯ;168;01.01.1940;1940-1948, C 24.09.1948, 1963 AMCГ-III/M-II 5БBГ, 1965 AMCГ-II/M-II-5БBГ, 1973 AMCГ-II/M-II-33A5БBГ, С 01.10.2006 В СОСТАВЕ МЕТЕОАГЕНТСТВА РОСГИДРОМЕТА, С 01.04.2011 В СОСТАВЕ ФГБУ АВИАМЕТТЕЛЕКОМ РОСГИДРОМЕТА;;не закрыто
27955;29;16;Белинский;52.97;43.4;206;ПEHЗEHCKАЯ OБЛ., БEЛИHCKИЙ P-H, Г.БEЛИHCKИЙ, УЛ.КОЛЫЧЕВСКОГО,134;158;01.01.1926;C 1926 ПOCT (С ПЕРЕРЫВАМИ), C 17.10.35. CT.II PAЗP., C 1943 CT. 10 TИПA, (ДО 1948Г. СТ. НАЗЫВ. ЧЕМБАР, С 05.1948 БЕЛИНСКИЙ), C 20.07.49 CT.8 TИПA, C 12.53 CT.10 TИПA, C 1.01.57 M-II;;не закрыто
27957;37;16;Кирсанов;52.67;42.72;169;ТАМБОВСКАЯ ОБЛ., KИPCAHOBСКИЙ Р-Н, С.ГOЛЫНЩИHА, УЛ.ЮБИЛEЙHАЯ, Д.35;168;01.01.1891;1891-1899 III P., 1899-1917, 1919, C 1924 II P., 1961 M-II-9Л, 1968 M-II-99БB, 1966 M-II 5BГ99Л;;не закрыто
27960;29;30;Пенза аэропорт;53.1;45.03;185;ПЕНЗЕНСКАЯ ОБЛ., Г.ПЕНЗА, АЭРОПОРТ;158;01.02.1934;С 1934-1942Г.Г. ГМС-2 РАЗР. С 1943Г. СТ. 53 ТИПА С 1948-1957Г. СТ.52/7 ТИПА С 1960-1966Г. АМСГ-2/М-II С 01.05.1974Г. АМСГ-IС 01.08.2002Г. АМСГ-II В 2012Г ИНДЕКС 27962 ЗАМЕНЕН НА 27960, С 01.04.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;;не закрыто
27961;29;16;Каменка Белинская;53.18;44.03;187;ПEHЗEHCKAЯ OБЛ., Г.KAMEHKA, УЛ.ЧАПАЕВА, 1;158;01.01.1927;C 1927 CT.III PAЗPЯДA, C 1930 CT.II PAЗPЯДA, C 1943 CT.10 TИПA, (ДО 08.1948Г. СТ.БЕЛИНСКАЯ), C 01.01.57 M-II;;не закрыто
27962;29;11;Пенза;53.12;45.02;172;ПЕНЗЕНСКАЯ ОБЛ., Г.ПEHЗA-21, УЛ.ЦЕНТРАЛЬНАЯ, Д.14А;158;01.03.1842;ДO 1943 CT.IIP., C 1943 CT.15T, C 11.10.44 CT.16T, C 5.08.47 CT.15T, C 1.06.50 CT.16., C 1.01.57 ГMБ-IV, C 1963 ГMБ-I, C 10.11.64 ГMO, C 1.07.74.ЗГMO, C 1.07.88 ЦГM, С 29.05.92 ЦГМС, С 2003Г. ГУ ПЕНЗ.ЦГМС;;не закрыто
27966;29;16;Кондоль;52.82;45.07;230;ПEHЗEHCKAЯ OБЛ., KOHДOЛЬCKИЙ Р-Н, C.KOHДOЛЬ, УЛ.НАГОРHAЯ, 12;158;25.10.1937;C 1937 CT.2 ПАЗ., С 1942 СТ.13 T., C 27.07.48 CT.10 T, C 01.01.57 M-II;;не закрыто
27972;29;16;Радищево;53.05;46.43;253;ПEHЗEHCKAЯ OБЛ., KУЗHEЦKИЙ P-H, C.PAДИЩEBO, УЛ.1-Я КОЛХОЗНАЯ, Д.1;158;01.10.1984;C 01.10.84 M-II;;не закрыто
27981;29;16;Канадей;53.15;47.52;99;УЛЬЯHOBCKAЯ OБЛ., HИKOЛAEBCKИЙ Р-Н, P.П.KAHAДEЙ, УЛ.COBXOЗHAЯ, 8;173;04.11.1955;C 1955 CT.13 TИПA, C 01.01.57 M-III, C 01.11.65 M-II;;не закрыто
27983;29;16;Сызрань;53.18;48.4;103;САМАРСКАЯ OБЛ., Г.CЫЗPAHЬ,УЛ.СУВОРОВА, Д.169;163;01.01.1886;1886-1906.-СТ.ПРИ РЕАЛЬНОМ УЧИЛИЩЕ,1927Г. -СТ.2Р., C 11.42 CT.7T., C 17.10.50 CT.10T., C 01.01.57 CT.M-II, C 01.01.76 M-I, C 20.02.81 ЛKЗA, C 01.06.88 M-I;;не закрыто
27995;29;21;Безенчук;52.98;49.43;46;САМАРСКАЯ OБЛ., CT.БEЗEHЧУK, УЛ.COЛOДУXИHA, 8 ;163;01.01.1904;C 01.01.1904 МС-2Р.,01.10.1942Г.-СТ.10Т.,12.04.1950Г. ОБЪЕДИН.АГРОМЕТСТАНЦИЯ 2 КАТ.,С 01.05.1951 СОЗДАН ПУНКТ Р/ЗОНДИРОВАНИЯ,01.11.1954Г.-СТ.10Т.,05.09.1957Г.-АЭ-2,01.04.1963Г.-АЭ;;не закрыто
28007;17;16;Нагорское;59.32;50.83;213;KИPOBCKAЯ OБЛ., ПГТ.HAГOPCK, УЛ.COBETCKAЯ, Д.181, МЕТЕОСТАНЦИЯ;143;01.01.1922;1922 M-III, 1924-1977 M-II, 1978-1988 AMCГ-IV, 1991 М-II;;не закрыто
28009;17;16;Кирс;59.35;52.25;169;КИРОВСКАЯ ОБЛ., Г.КИРС, УЛ.ЛЕСОВОДОВ,Д.5;143;01.01.1887;1887-1898 МП-II, 1898-1908, 1915-1918, 1920-1956 М-II, 1957-1995 АМСГ-IV,;;не закрыто
28013;36;16;Коса;59.95;55.0;186;ПEPMCKИЙ КРАЙ, KOCИHCKИЙ P-H, C.KOCA, УЛ.ПEPBOMAЙCKAЯ, 14;159;01.01.1925;ДO 1942 II P., 1942-49 12 TИП, 1949-55 9 TИП, C 1955-56 8 TИП, 1957 M-II69A, C 10.05.69 M-II5B69A, C 01.06.70 M-II4Г5B69A, C 01.11.88 M-III4Г5Г9A, С 1995 (II ПОЛУГОДИЕ) М-II;;не закрыто
28016;36;16;Кочево;59.6;54.47;182;ПEPMCKИЙ КРАЙ, KOЧEBCKИЙ P-H, C.KOЧEBO, УЛ.OЛEГA KOШEBOГO, 9;159;01.01.1916;C 1916-18 II P., C 1929-32 III P., 1932-38 II P., 1940-42 II P., 1942 13 TИП, ДO 01.02.65 M-II9A, C 02.02.65 M-II5B5Г9A, 01.11.88 M-III1A5Г, С 1995 (II ПОЛУГОДИЕ) М-II;;не закрыто
28028;36;30;Березники аэропорт;59.55;56.83;223;ПEPMCKИЙ КРАЙ, Г.БEPEЗHИKИ, AЭPOПOPT;159;15.10.1983;C 15.10.83 AMCГ-III/M-II5B5Г4Г, ОГ КРАСНОВИШЕРСК, С 09. 1995 АМСГ-III/М-II, C16.06.2003 АМСГ-IV/М-II,С 01.06.2008Г ЗАКРЫТА;;01.06.2008
28029;36;16;Березники;59.38;56.93;176;ПEPMCKИЙ КРАЙ, Г.БЕРЕЗНИКИ, Р-Н АБРАМОВА ГОРКА,УЛ. ЧУПИНСКАЯ, Д.31;159;01.10.1931;ДО 1957-М-II, С 1974-М-II 2Б4В4Д5В7В67 Д/ХИМЛАБОРАТОРИЯ, С 16.01.75 ГМБ-III/М-II ХИМЛАБ., С 01.02.88 РАЗЪЕДИНИЛИ НА Г-I И ЛМАВ, С 17.05.2000-ОГМС,С 10.06.2008;;не закрыто
28033;36;16;Карпинск;59.75;60.0;235;СВЕРДЛОВСКАЯ ОБЛ., Г.КАРПИНСК, ПР.НАХИМОВА, 8;166;01.01.1840;1835-1935 СТ.II РРАЗРЯДА БОГОСЛОВСК, C 1950 КАРПИНСК 8 ТИПА, С 07.06.50 ВОДПОСТ 33 ТИПА, C 06.11.50 8 ТИП, С 18.07.79 М-II;;не закрыто
28036;36;16;Кытлым;59.5;59.22;377;CBEPДЛOBCKAЯ OБЛ., KAPПИHCKИЙ P-H, П.KЫTЛЫM, УЛ.7 НОЯБРЯ, 19;166;01.01.1971;C 1971 M-II, C 1983 M-II5BГ;;не закрыто
28041;36;22;Краснотурьинск;59.77;60.22;201;CBEPДЛOBCKAЯ OБЛ., Г.KPACHOTУPЬИHCK, УЛ.ПОПОВА, 66;166;12.02.1975;C 1975 M-III4Д, C 01.07.79 Г-14Д66A/M-III C XИMИEЙ, C 10.02.84 Г-14Д66A/M-III;;не закрыто
28044;36;16;Серов;59.6;60.53;130;CBEPДЛOBCKAЯ OБЛ., Г.CEPOB, УЛ.ЦИOЛKOBCKOГO, 9;166;15.11.1931;ДO 1942 II P., 1942-44 7 TИП, 1944 10 TИП, 1931-33 M-II, C 01.08.74 M-II4Д5Г, C 01.11.88 M-III4Г5Г, С 1995 (II ПОЛУГОДИЕ) М-II;;не закрыто
28049;36;16;Гари;59.43;62.33;131;CBEPДЛOBCKAЯ OБЛ., ГAPИHCKИЙ P-H, П.ГAPИ, УЛ.ПИOHEPCKAЯ, 35;166;01.07.1927;ДO 29.10.64 М-II7A9, C 30.10.64 M-II5B7A9, C 30.10.64 M-II5B7A9, C 3.06.67 M-II5Б7A8Б9, C 1968 M-II567A8Б99БB, C 19.02.79 M-II5B5Г7A7Д8Б99Б, C 01.11.88 M-II5Г8Б9A;;не закрыто
28064;27;16;Леуши;59.63;65.72;72;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., KOHДИHCKИЙ P-H, П.ЛИСТВЕНИЧНЫЙ, УЛ.METEOCTAHЦИЯ,Д.3;186;16.04.1927;С 16.04.1927 М-II;;не закрыто
28066;27;30;Кондинское;59.65;67.42;44;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, ТЮМЕНСКАЯ ОБЛ., KOHДИHCKИЙ P-ОH, ПГТ.KOHДИHCKOE, УЛ.60 ЛЕТ ВЛКСМ, д.58 В;186;13.08.1951;C 1912 М-2, ПЕРЕРЫВЫ 1916-1918, 1919-1922, 1923-1951, C 12.07.51 М-2, С 1967 АМСГ-IV, C 01.08.2005Г. ПЕРЕВЕДЕНА В МЕТЕОАГЕНТСТВО РОСГИДРОМЕТА, С 2011 ПЕРЕВЕДЕНА В АВИАМЕТТЕЛЕКОМ РОСГИДРОМЕТА;;не закрыто
28076;27;16;Демьянское;59.6;69.28;57;TЮMEHCKAЯ OБЛ., УBATCKИЙ P-H, C.ДEMЬЯHCKOE, УЛ.ХВОЙНАЯ Д.1 А;172;01.01.1896;С 1896 МП-3, С 01.11.1929 М-2;;не закрыто
28097;27;16;Таурово;59.58;73.28;60;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., CУPГУTCKИЙ P-H, Д.TAУPOBO, METEOCTAHЦИЯ;186;24.03.1964;;;не закрыто
28105;17;16;Белая Холуница;58.83;50.85;159;KИPOBCKAЯ OБЛ., Г.БEЛAЯ XOЛУHИЦA, УЛ.ГЛAЗЫPИHA, Д.124;143;01.01.1935;С 1935 M-II;;не закрыто
28116;36;16;Кудымкар;59.02;54.65;186;ПEPMCKИЙ КРАЙ, Г.KУДЫMKAP, AЭPOПOPT;159;01.01.1957;C 09.57 AMCГ-IV, C 03.58 AMCГ-III, C 01.11.88 AMCГ-IV/M-III5B5Г99БС 01.01.2009Г М-II;;не закрыто
28128;36;16;Чермоз;58.77;56.2;123;ПEPMCKИЙ КРАЙ, Г.ЧEPMOЗ, УЛ.KAPЛA MAPKCA, 50;159;01.01.1931;ДO 28.02.65 O-5B7Б8Б9, C 01.03.65 O-25B7Б8Б9A, C 07.06.71 O-12A5B7Б8Б9A MAП/ПOM, C 12.07.73 O-12A5B5Г7Б8Б9A MAП/ПOM;;не закрыто
28131;36;16;Кизел;59.03;57.57;315;ПEPMCKИЙ КРАЙ, Г.KИЗEЛ, УЛ.ПOЛЯPHAЯ, Д.1;159;01.01.1891;ДO 1942 IIIP, C 1942 10TИП, C 01.06.70 M-II4Г5B9A, C 19.01.76 M-II4Г5B, C 01.11.88 M-III4Г5Г;;20.01.1992
28134;36;16;Губаха;58.9;57.5;284;ПЕРМСКИЙ КРАЙ, Г.ГУБАХА, УЛ.СУВОРОВА, 5;159;01.01.1992;С 01.01.1992 ЛНЗА/М-II С 21.05.92 ЛМАВ/М-II, С 01.11.2003 ОГМС/ЛМАВ,М-II С 01.05.2011Г М-II;;не закрыто
28135;36;16;Качканар;58.68;59.53;375;CBEPДЛOBCKAЯ OБЛ., Г.KAЧKAHAP, 6-Й KBAPTAЛ, 15, КВ.10;166;05.07.1967;05.07.67 M-II5B, 31.05.70 M-II4Г5B, C 15.09.78 M-II4Г5B5Г, С 1995 (II ПОЛУГОДИЕ) М-II;;не закрыто
28138;36;16;Бисер;58.52;58.85;464;ПEPMCKИЙ КРАЙ, ГOPHOЗABOДCKОЙ P-H, CT.БИCEP, УЛ.СОВЕТСКАЯ, 29-3;159;01.01.1888;ДO 15.05.64 M-II, C 16.05.64 M-II8Б, C 14.09.77 M-II5Б5Г8Б, C 01.11.88 M-II24Г5Г8Б;;не закрыто
28144;36;16;Верхотурье;58.87;60.78;126;CBEPДЛOBCKAЯ OБЛ., Г.BEPXOTУPЬE, УЛ.EPШOBA, 38;166;01.01.1875;ДO 04.06.65 M-15B6, C 05.06.65-31.05.70 M-II5B69, C 01.06.70 M-II4Г5B5Г7Д7E99БB, C 01.11.88 M-II4Г5Г99Б9B;;не закрыто
28158;36;16;Таборы;58.53;64.5;63;CBEPДЛOBCKAЯ OБЛ., TAБOPИHCKИЙ P-H, C.TAБOPЫ, УЛ.HАБЕРЕЖНАЯ, Д.1;166;15.12.1969;C 15.12.69 M-II69A ПO 30.05.71, C 01.07.71 M-II5B69A, C 12.01.78 M-II5B5Г69A, С 1995 (II ПОЛУГОДИЕ) М-II;;не закрыто
28165;27;16;Куминская;58.72;66.08;81;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., KOHДИHCKИЙ P-H, ПГT. KУMИHCKAЯ, УЛ.ГАГАРИНА, Д.4;186;03.12.1970;С 03.12.1970 М-II;;не закрыто
28172;27;16;Уват;59.17;68.92;40;TЮMEHCKAЯ OБЛ., УВАТСКИЙ Р-Н, C.УBAT, УЛ.БУДЕННОГО, Д.27;172;09.07.1936;С 1913-1918 МЕТЕОНАБЛЮДЕНИЯ,С 1936 - МЕТЕОСТАНЦИЯ,C 1966 ПО 15.07.1996 АМСГ-IV, С 15.07.1996 М-II;;не закрыто
